row,sku,product_name,meesho_price,mrp,color,img1,img2,img3,img4
5,TK-P01-FS-GRN,"Personalized Alphabet Name Showpiece",849,1499,Green,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P01-FS-GRN-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P01-FS-GRN-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P01-FS-GRN-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P01-FS-GRN-img4.png
6,TK-P02-FS-PRP,"Personalized Desk Pen Holder",599,999,Purple,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P02-FS-PRP-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P02-FS-PRP-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P02-FS-PRP-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P02-FS-PRP-img4.png
7,TK-P03-FS-YEL,"Personalized Giant Name Pencil",849,1499,Yellow,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P03-FS-YEL-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P03-FS-YEL-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P03-FS-YEL-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P03-FS-YEL-img4.png
8,TK-P04-FS-PNK,"Personalized Name Pen Stand",849,1499,Pink,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P04-FS-PNK-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P04-FS-PNK-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P04-FS-PNK-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P04-FS-PNK-img4.png
9,TK-P05-FS-BLU,"Personalized Pencil Shape Pen Stand",499,849,Blue,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P05-FS-BLU-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P05-FS-BLU-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P05-FS-BLU-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P05-FS-BLU-img4.png
10,TK-P06-FS-PNK,"Personalized Sliding Photo Book",549,949,Pink,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P06-FS-PNK-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P06-FS-PNK-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P06-FS-PNK-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P06-FS-PNK-img4.png
11,TK-P07-FS-GRN,"Glowing Kanhaji Showpiece",299,499,Green,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P07-FS-GRN-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P07-FS-GRN-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P07-FS-GRN-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P07-FS-GRN-img4.png
12,TK-P08-FS-PNK,"Personalized Instax Mini Fridge Magnet",249,449,Pink,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P08-FS-PNK-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P08-FS-PNK-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P08-FS-PNK-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P08-FS-PNK-img4.png
13,TK-P09-FS-ORG,"Personalized Couple Initials Heart Sign",1099,1899,Orange,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P09-FS-ORG-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P09-FS-ORG-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P09-FS-ORG-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P09-FS-ORG-img4.png
14,TK-P10-FS-GRN,"Personalized Photo Rotator",499,849,Green,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P10-FS-GRN-img1.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P10-FS-GRN-img2.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P10-FS-GRN-img3.png,/Users/akshat.garg/Documents/GitHub new/Tathastu/meesho-image-kit/TK-P10-FS-GRN-img4.png
